  2009jf Ib
  NGC7479   ABg= 0.460 0.0 ABi= 0.2  0.2  mu= 32.65 0.10 jd_expl= 55099.5 (ABg=Schlegel,mu=Tully,vel=2462 32.65pm.06)
______________________________________________________________________
UBVRI   JD_MAX  55116.  2.0   55119.4  2.0   55122.0  2.0   55123.9  2.  55124.8  2.0
     m_max    15.70   0.0    15.60   0.0    15.00   0.0    14.83   0.0    14.59   0.0
  Date        JD             U              B               V             R                 I         S    Inst  
 20091027    55131.52   9999.9 0.000    15.711 0.010    15.112 0.012    15.064 0.010    15.030 0.014    7    prompt
 20091028    55132.53   9999.9 0.000    15.777 0.016    15.178 0.036    15.125 0.016    15.065 0.014    7    prompt
 20091103    55139.34   18.370 0.039    16.408 0.008    15.499 0.010    15.336 0.010    15.263 0.016    4    LT    
 20091103    55138.54   9999.9 0.000    16.314 0.061    15.456 0.016    15.353 0.010    15.244 0.037    7    prompt
 20091105    55140.52   9999.9 0.000    16.400 0.012    9999.9 0.000    15.441 0.012    15.288 0.030    7    prompt
 20091111    55147.33   9999   0.000    9999   0.000    15.869 0.006    15.710 0.006    15.479 0.024    4    LT_sub 
 20091113    55148.78   9999   0.000    16.967 0.017    15.969 0.005    15.804 0.006    15.499 0.015    7    prompt_sub
 20091113    55149.35   18.966 0.136    17.004 0.008    15.961 0.005    15.789 0.005    15.531 0.012    4    LT_sub
 20091119    55154.52   9999   0.000    9999   0.000    16.128 0.007    15.990 0.010    15.605 0.008    7    prompt_sub
 20091123    55159.36   19.122 0.039    17.167 0.008    16.241 0.007    16.055 0.007    15.640 0.006    4    LT_sub
 20091124    55159.52   9999.9 0.0      9999   0.0      16.199 0.017    16.081 0.019    15.647 0.019    7    prompt_sub
 20091201    55167.32   19.151 0.098    17.249 0.026    16.381 0.008    16.240 0.008    15.785 0.013    4    LT_sub    
 20091202    55167.55   9999.9 0.000    9999.9 0.000    16.396 0.013    16.259 0.016    9999.9 0.000    7    prompt_sub
 20091206    55172.34   19.206 0.056    17.283 0.017    16.429 0.003    16.301 0.002    15.892 0.044    4    LT_sub
#####################################################################################################################
#    preliminar light curve 
#    Valenti in preparation   25/11/2010 
#
#
#
#
#
